ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
464524,Female,Yes,27,No,Marketing,1.0,Low,2.0,Cat_6,1
461787,Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6,3
467857,Female,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6,1
460153,Male,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6,3
465215,Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2,1
466746,Female,Yes,69,Yes,Lawyer,0.0,High,2.0,Cat_6,3
464857,Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4,4
460723,Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4,2
459853,Male,No,30,No,Executive,5.0,Low,5.0,Cat_6,1
460410,Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6,4
463823,Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6,4
462008,Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5,2
459750,Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6,1
459880,Female,Yes,48,Yes,Artist,0.0,Average,5.0,Cat_7,3
459261,Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6,3
465395,Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4,2
461631,Male,No,29,No,Marketing,8.0,Low,5.0,Cat_6,3
464904,Female,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4,1
461740,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,2
467092,Female,No,28,Yes,Healthcare,7.0,Low,4.0,Cat_6,4
464173,Male,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6,3
464972,Male,Yes,67,No,Lawyer,0.0,High,9.0,Cat_4,1
467959,Female,No,26,No,Engineer,0.0,Low,1.0,Cat_2,1
467688,Female,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6,3
460043,Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,2
466590,Female,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6,3
461191,Female,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6,4
465662,Male,Yes,76,No,Executive,1.0,Low,1.0,Cat_6,3
459231,Female,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6,3
466495,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6,2
459192,Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6,3
465710,Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6,3
460258,Female,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6,4
462813,Male,Yes,37,No,Executive,0.0,Average,5.0,Cat_6,1
467768,Male,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6,3
465291,Female,Yes,45,Yes,Artist,5.0,Average,3.0,Cat_6,3
462996,Female,Yes,49,Yes,Homemaker,9.0,Average,3.0,Cat_6,3
463497,Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6,4
465301,Female,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3,2
464702,Male,Yes,59,No,Artist,2.0,Average,2.0,Cat_4,3
459012,Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6,2
465053,Male,Yes,82,Yes,Executive,0.0,High,2.0,Cat_6,3
459420,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6,2
464166,Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6,2
458987,Female,Yes,72,Yes,Lawyer,0.0,High,2.0,Cat_6,3
467745,Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6,3
464866,Female,No,23,No,Engineer,11.0,Low,1.0,Cat_3,4
461081,Female,No,20,No,Healthcare,2.0,Low,6.0,Cat_6,4
467896,Female,No,22,No,Healthcare,4.0,Low,3.0,Cat_6,4
463991,Female,No,31,Yes,Engineer,8.0,Low,1.0,Cat_6,1
466620,Female,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6,3
460697,Male,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6,3
467934,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,1
467910,Female,No,21,No,Doctor,1.0,Low,3.0,Cat_7,1
467335,Female,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6,4
460263,Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,2
459340,Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,2
465622,Female,Yes,42,Yes,Artist,5.0,Low,2.0,Cat_6,3
459395,Male,Yes,42,No,Executive,8.0,Low,2.0,Cat_6,4
466574,Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6,3
466544,Male,Yes,41,Yes,Executive,1.0,Average,3.0,Cat_6,1
463610,Female,Yes,31,Yes,Artist,0.0,Average,2.0,Cat_6,1
465539,Female,Yes,49,Yes,Artist,1.0,High,5.0,Cat_6,2
459823,Male,Yes,67,Yes,Executive,1.0,Low,2.0,Cat_6,1
467614,Male,Yes,35,No,Artist,4.0,Average,2.0,Cat_6,2
459073,Female,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_6,3
464863,Female,Yes,25,No,Engineer,6.0,Average,8.0,Cat_4,4
460022,Female,Yes,39,Yes,Healthcare,4.0,Low,2.0,Cat_6,1
459929,Male,Yes,63,Yes,Entertainment,0.0,Low,2.0,Cat_6,1
466613,Male,No,23,No,Healthcare,8.0,Low,3.0,Cat_6,4
461149,Female,No,23,No,Healthcare,0.0,Low,3.0,Cat_3,4
466068,Female,Yes,53,Yes,Artist,2.0,Low,1.0,Cat_6,3
461513,Male,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6,2
466236,Female,Yes,69,Yes,Engineer,0.0,Low,2.0,Cat_4,2
459664,Male,No,37,Yes,Artist,2.0,Low,1.0,Cat_6,2
461967,Female,No,20,No,Marketing,3.0,Low,4.0,Cat_7,3
461710,Female,Yes,49,Yes,Doctor,1.0,Average,4.0,Cat_6,3
462742,Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_3,4
459528,Female,Yes,52,Yes,Doctor,0.0,Average,2.0,Cat_6,3
467515,Male,Yes,28,Yes,Engineer,0.0,Average,2.0,Cat_6,1
463429,Female,No,28,Yes,Artist,7.0,Low,3.0,Cat_6,1
464024,Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_7,4
460691,Female,No,27,No,Homemaker,8.0,Low,1.0,Cat_3,4
467271,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,2
465634,Male,No,25,Yes,Healthcare,1.0,Low,4.0,Cat_4,2
464801,Male,No,40,No,Marketing,1.0,Low,1.0,Cat_4,4
462036,Female,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,2
460448,Female,No,38,Yes,Artist,9.0,Low,1.0,Cat_3,1
464464,Male,No,28,No,Healthcare,0.0,Low,4.0,Cat_2,3
462410,Female,No,32,No,Healthcare,1.0,Low,5.0,Cat_7,2
459756,Female,Yes,56,No,Lawyer,1.0,High,4.0,Cat_4,2
463789,Female,Yes,53,Yes,Artist,1.0,Low,2.0,Cat_6,3
466947,Male,Yes,57,No,Executive,1.0,High,5.0,Cat_6,3
464150,Female,Yes,59,Yes,Artist,0.0,Average,3.0,Cat_6,3
465693,Female,Yes,25,Yes,Healthcare,1.0,High,4.0,Cat_4,1
461670,Male,Yes,59,Yes,Artist,0.0,Average,6.0,Cat_6,3
466768,Female,Yes,36,Yes,Artist,0.0,Low,4.0,Cat_6,3
461550,Male,Yes,37,Yes,Entertainment,7.0,Low,2.0,Cat_6,1
462438,Male,No,22,No,Doctor,1.0,Low,3.0,Cat_2,4
460704,Male,Yes,43,Yes,Artist,1.0,Low,2.0,Cat_6,2
464884,Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_4,1
467050,Female,No,21,No,Engineer,0.0,Low,5.0,Cat_2,2
466176,Male,No,38,Yes,Doctor,8.0,Low,1.0,Cat_2,2
467773,Male,Yes,70,Yes,Lawyer,1.0,High,3.0,Cat_6,3
465425,Female,No,31,No,Engineer,1.0,Low,4.0,Cat_6,2
462318,Female,Yes,82,No,Lawyer,0.0,Average,2.0,Cat_6,1
460197,Male,No,38,Yes,Artist,8.0,Low,3.0,Cat_2,1
459375,Male,Yes,18,No,Executive,0.0,High,4.0,Cat_6,1
463862,Male,Yes,50,Yes,Artist,6.0,Average,3.0,Cat_6,3
462721,Female,Yes,72,No,Lawyer,1.0,High,3.0,Cat_6,4
465809,Female,No,25,No,Homemaker,1.0,Low,7.0,Cat_4,2
466915,Female,Yes,75,No,Entertainment,2.0,High,2.0,Cat_2,4
467343,Male,No,72,Yes,Artist,1.0,Low,1.0,Cat_6,2
466268,Female,Yes,72,Yes,Artist,0.0,Average,3.0,Cat_4,3
464868,Male,Yes,36,Yes,Entertainment,6.0,Low,6.0,Cat_4,1
464038,Male,Yes,40,Yes,Artist,1.0,Low,2.0,Cat_6,1
460176,Female,No,28,Yes,Entertainment,0.0,Low,4.0,Cat_6,3
462161,Female,No,28,Yes,Doctor,0.0,Low,3.0,Cat_6,4
464893,Male,Yes,43,Yes,Artist,0.0,Low,2.0,Cat_4,2
464443,Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6,2
467619,Male,Yes,65,Yes,Lawyer,1.0,High,2.0,Cat_6,2
465974,Male,Yes,52,Yes,Executive,7.0,High,4.0,Cat_4,3
462075,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,2
459494,Female,Yes,69,No,Engineer,9.0,Low,3.0,Cat_6,1
466921,Female,No,22,No,Healthcare,3.0,Low,3.0,Cat_6,4
463544,Male,Yes,47,Yes,Executive,1.0,Average,4.0,Cat_6,3
461167,Male,Yes,29,Yes,Marketing,1.0,High,2.0,Cat_3,1
467364,Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_3,3
462408,Male,No,32,Yes,Artist,1.0,Low,2.0,Cat_6,1
466224,Female,No,38,Yes,Healthcare,0.0,Low,1.0,Cat_2,3
465151,Male,Yes,59,Yes,Artist,0.0,Low,1.0,Cat_6,2
467216,Female,No,26,Yes,Entertainment,1.0,Low,1.0,Cat_6,4
460586,Male,No,26,Yes,Healthcare,1.0,Low,2.0,Cat_3,1
461197,Male,No,28,No,Marketing,0.0,Low,1.0,Cat_3,4
462776,Female,Yes,53,Yes,Engineer,1.0,Average,3.0,Cat_6,3
464088,Male,No,27,No,Doctor,1.0,Low,3.0,Cat_6,4
464695,Male,No,26,No,Engineer,0.0,Low,4.0,Cat_4,4
462331,Female,No,31,No,Entertainment,0.0,Low,2.0,Cat_6,4
466523,Male,Yes,39,Yes,Executive,1.0,High,3.0,Cat_3,2
465337,Female,Yes,43,No,Engineer,1.0,Low,3.0,Cat_7,1
460834,Male,Yes,25,No,Doctor,1.0,Low,2.0,Cat_1,1
466824,Male,Yes,40,Yes,Artist,3.0,High,3.0,Cat_6,1
461607,Female,Yes,40,Yes,Entertainment,7.0,Average,2.0,Cat_3,2
466999,Male,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6,4
466597,Female,No,19,No,Healthcare,1.0,Low,2.0,Cat_6,4
464075,Female,Yes,86,Yes,Lawyer,0.0,High,2.0,Cat_6,2
462163,Female,Yes,27,Yes,Artist,4.0,Average,2.0,Cat_3,3
463895,Female,Yes,70,No,Doctor,0.0,Average,2.0,Cat_6,2
464767,Female,Yes,53,No,Engineer,8.0,Average,4.0,Cat_4,2
463738,Male,Yes,43,No,Executive,0.0,High,4.0,Cat_6,1
465967,Male,Yes,36,No,Doctor,6.0,Low,3.0,Cat_6,1
462260,Male,Yes,74,Yes,Lawyer,0.0,Low,2.0,Cat_6,3
467234,Female,No,30,No,Homemaker,0.0,Low,4.0,Cat_6,4
466573,Female,No,37,Yes,Artist,5.0,Low,2.0,Cat_6,2
463229,Female,No,22,No,Marketing,0.0,Low,1.0,Cat_5,2
459768,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,4
462541,Male,Yes,70,Yes,Engineer,4.0,High,2.0,Cat_6,2
467714,Male,Yes,89,Yes,Lawyer,13.0,Low,1.0,Cat_6,1
459474,Male,No,25,Yes,Doctor,6.0,Low,1.0,Cat_2,4
460093,Female,No,45,Yes,Artist,4.0,Low,1.0,Cat_3,1
467865,Female,No,35,Yes,Artist,3.0,Low,1.0,Cat_4,1
465758,Female,Yes,37,No,Engineer,7.0,Low,1.0,Cat_4,4
464184,Female,Yes,39,No,Engineer,4.0,Average,2.0,Cat_6,2
462618,Female,No,32,Yes,Healthcare,1.0,Low,5.0,Cat_4,4
464226,Female,Yes,62,Yes,Artist,2.0,Average,3.0,Cat_6,3
465432,Female,Yes,58,Yes,Engineer,0.0,Average,4.0,Cat_4,2
466627,Male,No,25,No,Healthcare,0.0,Low,5.0,Cat_6,3
467380,Female,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,3
465842,Female,No,36,Yes,Entertainment,10.0,Low,2.0,Cat_6,1
464622,Female,No,30,No,Healthcare,8.0,Low,3.0,Cat_6,1
462083,Male,No,19,No,Healthcare,1.0,Low,5.0,Cat_6,4
460910,Male,No,27,Yes,Healthcare,0.0,Low,2.0,Cat_6,1
460255,Female,No,38,Yes,Doctor,14.0,Low,1.0,Cat_6,1
460109,Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6,3
464306,Male,No,29,Yes,Artist,3.0,Low,1.0,Cat_6,2
466835,Male,Yes,51,No,Entertainment,1.0,Average,4.0,Cat_7,2
465192,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,1
463380,Female,Yes,69,Yes,Engineer,1.0,Low,1.0,Cat_3,1
462391,Female,No,26,No,Healthcare,1.0,Low,8.0,Cat_7,3
467086,Female,Yes,83,Yes,Lawyer,0.0,Low,3.0,Cat_6,1
460306,Female,No,39,Yes,Healthcare,9.0,Low,1.0,Cat_6,4
460752,Male,Yes,35,Yes,Artist,9.0,Low,1.0,Cat_6,1
467264,Male,Yes,19,No,Marketing,2.0,High,5.0,Cat_6,3
466258,Female,No,29,No,Healthcare,1.0,Low,3.0,Cat_6,2
463719,Female,No,26,No,Doctor,0.0,Low,1.0,Cat_6,4
460032,Male,No,36,Yes,Engineer,8.0,Low,1.0,Cat_6,1
465175,Female,No,22,No,Homemaker,0.0,Low,4.0,Cat_6,4
466610,Male,No,19,No,Marketing,0.0,Low,5.0,Cat_6,1
459036,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,Cat_3,1
464047,Male,No,43,Yes,Healthcare,3.0,Low,3.0,Cat_6,4
459997,Male,No,43,Yes,Entertainment,1.0,Low,2.0,Cat_4,1
463382,Female,Yes,50,Yes,Engineer,4.0,High,3.0,Cat_6,2
460967,Male,No,25,Yes,Entertainment,1.0,Low,2.0,Cat_6,1
465094,Male,Yes,61,No,Artist,1.0,High,2.0,Cat_6,2
461229,Female,Yes,28,Yes,Healthcare,0.0,Average,2.0,Cat_6,1
466442,Male,No,38,Yes,Artist,1.0,Low,1.0,Cat_6,4
464527,Male,No,25,No,Executive,12.0,Low,3.0,Cat_6,1
463560,Female,No,18,No,Healthcare,9.0,Low,5.0,Cat_4,4
460011,Male,Yes,43,Yes,Entertainment,1.0,Average,5.0,Cat_5,3
467207,Female,No,27,Yes,Artist,8.0,Low,1.0,Cat_6,2
465177,Female,No,60,Yes,Entertainment,1.0,Low,2.0,Cat_6,4
467531,Male,Yes,75,Yes,Lawyer,2.0,Low,1.0,Cat_6,4
462842,Male,No,23,No,Doctor,6.0,Low,4.0,Cat_2,4
462124,Male,No,36,Yes,Artist,8.0,Low,1.0,Cat_6,1
466265,Male,No,30,No,Doctor,1.0,Low,1.0,Cat_3,3
459789,Male,Yes,56,No,Artist,1.0,Average,2.0,Cat_6,3
464223,Female,Yes,52,Yes,Artist,2.0,Low,2.0,Cat_6,3
460280,Male,Yes,39,Yes,Entertainment,0.0,Low,1.0,Cat_6,4
460331,Female,No,35,No,Artist,5.0,Low,1.0,Cat_6,1
461494,Male,Yes,33,No,Engineer,0.0,Average,2.0,Cat_6,2
460035,Female,No,25,Yes,Artist,0.0,Low,6.0,Cat_6,1
463812,Female,Yes,27,Yes,Artist,0.0,Average,2.0,Cat_4,2
465569,Male,Yes,35,Yes,Artist,1.0,High,3.0,Cat_6,1
466333,Female,Yes,41,Yes,Artist,1.0,Average,2.0,Cat_6,3
462723,Female,Yes,46,No,Artist,8.0,Average,2.0,Cat_6,2
462404,Female,No,26,Yes,Artist,9.0,Low,1.0,Cat_6,1
461799,Male,Yes,43,Yes,Doctor,13.0,High,2.0,Cat_6,2
459933,Female,Yes,30,Yes,Artist,8.0,Low,4.0,Cat_6,1
463717,Female,Yes,70,Yes,Artist,1.0,Average,4.0,Cat_6,3
462149,Female,Yes,89,No,Lawyer,3.0,High,1.0,Cat_6,4
462769,Female,Yes,42,No,Homemaker,6.0,High,4.0,Cat_6,2
465532,Female,Yes,37,Yes,Entertainment,6.0,Average,3.0,Cat_4,1
462829,Male,Yes,29,No,Executive,1.0,Average,3.0,Cat_6,4
459210,Female,Yes,68,Yes,Artist,1.0,High,2.0,Cat_6,3
464659,Female,No,25,No,Engineer,1.0,Low,1.0,Cat_4,4
467759,Female,Yes,48,Yes,Doctor,0.0,Low,2.0,Cat_6,3
461475,Female,Yes,51,Yes,Doctor,1.0,Average,3.0,Cat_1,3
462714,Female,Yes,40,Yes,Engineer,1.0,High,5.0,Cat_2,2
466890,Male,Yes,47,Yes,Artist,0.0,Average,6.0,Cat_7,2
467479,Male,Yes,35,Yes,Executive,1.0,Average,4.0,Cat_6,3
466799,Female,No,19,No,Healthcare,2.0,Low,3.0,Cat_6,4
460873,Male,Yes,46,Yes,Entertainment,0.0,Average,3.0,Cat_4,2
466776,Male,Yes,86,Yes,Lawyer,0.0,Low,1.0,Cat_6,2
459462,Male,Yes,66,Yes,Artist,0.0,High,2.0,Cat_6,2
465727,Male,No,42,No,Marketing,1.0,Low,5.0,Cat_4,4
462348,Female,Yes,73,Yes,Lawyer,1.0,High,2.0,Cat_6,2
460941,Male,Yes,72,No,Engineer,1.0,Low,1.0,Cat_6,1
461629,Male,Yes,53,Yes,Artist,0.0,Low,3.0,Cat_6,2
459907,Female,Yes,39,Yes,Artist,8.0,Average,2.0,Cat_6,3
467146,Female,No,27,No,Homemaker,9.0,Low,1.0,Cat_6,4
459196,Female,No,23,No,Healthcare,1.0,Low,3.0,Cat_4,4
465444,Female,No,30,Yes,Entertainment,0.0,Low,4.0,Cat_6,2
464186,Female,Yes,39,Yes,Artist,5.0,Average,2.0,Cat_6,3
466412,Male,Yes,26,Yes,Artist,1.0,Average,3.0,Cat_6,2
459480,Female,Yes,50,Yes,Entertainment,7.0,Low,3.0,Cat_6,1
467880,Female,Yes,45,Yes,Artist,1.0,Average,2.0,Cat_6,3
460216,Female,No,62,No,Entertainment,2.0,Low,1.0,Cat_6,1
467941,Female,No,27,Yes,Doctor,1.0,Low,3.0,Cat_6,1
462572,Female,Yes,30,No,Engineer,1.0,Average,7.0,Cat_4,1
467443,Male,No,32,No,Healthcare,7.0,Low,4.0,Cat_3,1
459701,Male,No,47,No,Artist,3.0,Low,3.0,Cat_5,2
461139,Female,No,32,Yes,Artist,4.0,Low,4.0,Cat_2,1
461115,Female,Yes,32,No,Engineer,5.0,Low,3.0,Cat_1,1
459027,Male,Yes,67,Yes,Doctor,1.0,Average,4.0,Cat_6,2
467340,Female,Yes,77,Yes,Lawyer,0.0,High,2.0,Cat_6,3
460857,Male,No,31,No,Entertainment,1.0,Low,1.0,Cat_4,1
464300,Male,Yes,42,Yes,Artist,0.0,Low,3.0,Cat_4,1
