Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
303,322,105,2,3.0,3.0,8.45,1
30,310,99,2,1.5,2.0,7.3,0
230,324,111,4,3.0,3.0,9.01,1
100,323,113,3,4.0,4.0,8.88,1
327,299,100,3,2.0,2.0,8.02,0
333,308,106,3,3.5,2.5,8.21,1
391,314,102,2,2.0,2.5,8.24,0
143,331,115,5,4.0,3.5,9.44,1
371,310,103,2,2.5,2.5,8.24,0
15,311,104,3,3.5,2.0,8.2,1
85,340,115,5,4.5,4.5,9.45,1
67,327,114,3,3.0,3.0,9.02,0
305,313,106,2,2.5,2.0,8.43,0
108,338,117,4,3.5,4.5,9.46,1
283,312,106,3,4.0,3.5,8.79,1
340,324,107,5,3.5,4.0,8.66,1
130,333,118,5,5.0,5.0,9.35,1
84,322,115,5,4.0,4.5,9.36,1
135,333,113,5,4.0,4.0,9.28,1
56,320,103,3,3.0,3.0,7.7,0
99,332,119,4,5.0,4.5,9.24,1
349,302,99,1,2.0,2.0,7.25,0
337,319,110,3,3.0,2.5,8.79,0
88,317,107,2,3.5,3.0,8.28,0
185,316,106,2,2.5,4.0,8.32,0
251,320,104,3,3.0,2.5,8.57,1
45,326,113,5,4.5,4.0,9.4,1
196,307,107,2,3.0,3.5,8.52,1
46,322,110,5,5.0,4.0,9.1,1
111,305,108,5,3.0,3.0,8.48,0
376,304,101,2,2.0,2.5,7.66,0
205,298,105,3,3.5,4.0,8.54,0
131,339,114,5,4.0,4.5,9.76,1
188,335,118,5,4.5,3.5,9.44,1
51,313,98,3,2.5,4.5,8.3,1
396,324,110,3,3.5,3.5,9.04,1
20,303,102,3,3.5,3.0,8.5,0
323,314,107,2,2.5,4.0,8.27,0
164,317,105,3,3.5,3.0,8.56,0
217,322,112,4,4.5,4.5,9.26,1
341,312,107,3,3.0,3.0,8.46,1
392,318,106,3,2.0,3.0,8.65,0
373,336,119,4,4.5,4.0,9.62,1
325,315,104,3,3.0,2.5,8.33,0
390,320,108,3,3.5,4.0,8.44,1
363,338,115,5,4.5,5.0,9.23,1
139,326,116,2,4.5,3.0,9.08,1
226,296,99,2,2.5,2.5,8.03,0
233,312,107,2,2.5,3.5,8.27,0
239,310,104,3,2.0,3.5,8.37,0
120,327,104,5,3.0,3.5,8.84,1
369,298,92,1,2.0,2.0,7.88,0
133,309,105,5,3.5,3.5,8.56,0
161,315,103,1,1.5,2.0,7.86,0
63,304,105,2,3.0,3.0,8.2,1
110,304,103,5,5.0,4.0,8.64,0
218,321,109,4,4.0,4.0,9.13,1
264,324,111,3,2.5,1.5,8.79,1
155,326,108,3,3.0,3.5,8.89,0
231,313,104,3,4.0,4.5,8.65,0
360,321,107,2,2.0,1.5,8.44,0
138,316,100,2,1.5,3.0,8.16,1
29,295,93,1,2.0,2.0,7.2,0
176,320,111,4,4.5,3.5,8.87,1
24,334,119,5,5.0,4.5,9.7,1
158,309,104,2,2.0,2.5,8.26,0
162,298,99,1,1.5,3.0,7.46,0
227,306,110,2,3.5,4.0,8.45,0
246,328,110,4,4.0,2.5,9.02,1
250,321,111,3,3.5,4.0,8.83,1
65,325,111,3,3.0,3.5,8.7,0
379,303,98,1,2.0,2.5,7.65,0
318,300,99,1,1.0,2.5,8.01,0
389,296,97,2,1.5,2.0,7.8,0
175,321,111,4,4.0,4.0,8.97,1
122,334,119,5,4.5,4.5,9.48,1
321,317,106,3,4.0,3.5,8.5,1
47,329,114,5,4.0,5.0,9.3,1
204,334,120,5,4.0,5.0,9.87,1
62,307,101,3,4.0,3.0,8.2,0
22,325,114,4,3.0,2.0,8.4,0
38,300,105,1,1.0,2.0,7.8,0
280,304,102,2,3.0,4.0,8.73,0
64,315,107,2,4.0,3.0,8.5,1
366,330,114,4,4.5,3.0,9.17,1
193,322,114,5,4.5,4.0,8.94,1
54,324,112,4,4.0,2.5,8.1,1
299,330,114,3,4.5,4.5,9.24,1
53,334,116,4,4.0,3.0,8.0,1
334,319,108,3,3.0,3.5,8.54,1
270,308,108,4,4.5,5.0,8.34,0
97,306,100,2,3.0,3.0,8.0,0
77,327,112,3,3.0,3.0,8.72,1
91,318,106,2,4.0,4.0,7.92,1
242,317,103,2,2.5,2.0,8.15,0
302,319,108,2,2.5,3.0,8.76,0
13,328,112,4,4.0,4.5,9.1,1
212,328,110,4,5.0,4.0,9.14,1
245,314,107,2,2.5,4.0,8.56,0
214,333,119,5,5.0,4.5,9.78,1
344,305,103,2,2.5,3.5,8.13,0
82,340,120,4,5.0,5.0,9.5,1
152,332,116,5,5.0,5.0,9.28,1
16,314,105,3,3.5,2.5,8.3,0
98,331,120,3,4.0,4.0,8.96,1
140,318,109,1,3.5,3.5,9.12,0
273,294,95,1,1.5,1.5,7.64,0
350,313,101,3,2.5,3.0,8.04,0
329,324,112,4,4.0,3.5,8.77,1
167,302,102,3,3.5,5.0,8.33,0
385,340,113,4,5.0,5.0,9.74,1
49,321,110,3,3.5,5.0,8.85,1
351,318,107,3,3.0,3.5,8.27,1
127,323,113,3,4.0,3.0,9.32,1
148,326,114,3,3.0,3.0,9.11,1
12,327,111,4,4.0,4.5,9.0,1
284,321,111,3,2.5,3.0,8.9,1
290,313,109,3,4.0,3.5,9.0,0
298,320,120,3,4.0,4.5,9.11,0
310,308,110,4,3.5,3.0,8.6,0
145,325,112,2,3.0,3.5,8.96,1
25,336,119,5,4.0,3.5,9.8,1
19,318,110,3,4.0,3.0,8.8,0
345,295,96,2,1.5,2.0,7.34,0
241,296,101,1,2.5,3.0,7.68,0
178,319,110,3,3.5,3.5,9.04,0
113,301,107,3,3.5,3.5,8.34,1
174,323,113,4,4.0,4.5,9.23,1
221,313,103,3,4.0,4.0,8.75,0
382,319,105,3,3.0,3.5,8.67,1
