Date,Sales,PV,UV,Events
2022-02-24,1591773,17450,408,0
2022-02-25,3137305,281390,6164,1
2022-02-26,4439703,129763,,1
2022-02-27,2021143,29412,1722,0
2022-02-28,603652,6059,94,0
2022-03-01,27064,373,8,0
2022-03-02,13333155,251516,2933,1
2022-03-03,1055130,180121,4397,0
2022-03-04,166733,3540,354,0
2022-03-05,2746377,123729,3818,0
2022-03-06,9375467,428922,4857,1
2022-03-07,23535908,452188,7858,1
2022-03-08,556579,8898,114,0
2022-03-09,1739461,25834,1409,0
2022-03-10,2951335,154966,8259,1
2022-03-11,65858,1202,165,0
2022-03-12,5557368,76784,2539,0
2022-03-13,8889486,151744,2593,0
2022-03-14,5053097,74390,3567,0
2022-03-15,1878108,117365,1846,0
2022-03-16,3635064,186878,1870,0
2022-03-17,6325889,81529,6068,1
2022-03-18,2739648,35660,866,0
2022-03-19,2059546,44962,924,0
2022-03-20,53636725,654270,8786,1
2022-03-21,2567285,68379,,0
2022-03-22,726880,30016,372,0
2022-03-23,842747,13224,1181,0
2022-03-24,12353572,128273,2118,0
2022-03-25,13914220,393426,4201,1
2022-03-26,600616,7889,80,0
2022-03-27,2758569,521746,5911,1
2022-03-28,1056542,12169,1041,0
2022-03-29,1159740,45272,940,0
2022-03-30,6295682,115805,1223,0
2022-03-31,12557765,335479,5833,1
2022-04-01,643991,22186,1345,0
2022-04-02,434489,23144,736,0
2022-04-03,925022,132113,4711,0
2022-04-04,13776880,205328,2112,1
2022-04-05,4292137,121368,5511,1
2022-04-06,1056293,172670,,0
2022-04-07,4318575,56768,3010,0
2022-04-08,898225,83976,2734,0
2022-04-09,2561368,85883,880,0
2022-04-10,28971,3100,528,0
2022-04-11,1001797,33619,407,0
2022-04-12,1343489,99589,2483,0
2022-04-13,3082190,50900,751,0
2022-04-14,1053436,11461,2344,0
2022-04-15,17572065,515684,,1
2022-04-16,210603,24545,949,0
2022-04-17,3961983,56332,1949,0
2022-04-18,1160047,44818,,0
2022-04-19,14584921,187514,4922,0
2022-04-20,2312866,61677,662,0
2022-04-21,13530293,263873,9080,1
2022-04-22,21234911,392872,4414,1
2022-04-23,724090,65454,2073,0
2022-04-24,3347550,113897,1164,0
2022-04-25,198550,5351,55,0
2022-04-26,90030,942,99,0
2022-04-27,2168356,95816,986,0
2022-04-28,47158,1158,45,0
2022-04-29,3935292,51079,1106,0
2022-04-30,6315700,229296,2739,1
2022-05-01,976303,45225,1142,0
2022-05-02,7394853,262116,2959,1
2022-05-03,813181,23916,358,0
2022-05-04,318886,4733,292,0
2022-05-05,43980,47246,560,0
2022-05-06,38524,2604,,0
2022-05-07,3370701,470556,5737,1
2022-05-08,5682682,68592,2431,0
2022-05-09,1477685,17533,911,0
2022-05-10,500866,14862,1013,0
2022-05-11,812544,44101,538,0
2022-05-12,12567933,217487,2864,1
2022-05-13,29851429,493901,,1
2022-05-14,33151713,418552,5225,1
2022-05-15,2565232,25985,1932,0
2022-05-16,3735270,40612,430,0
2022-05-17,1534801,112862,1201,0
2022-05-18,253328,10495,1177,0
2022-05-19,4479021,512578,7066,1
2022-05-20,39550,425,5,0
2022-05-21,394356,5934,237,0
2022-05-22,12333077,140402,3724,0
2022-05-23,4155337,147844,3469,0
2022-05-24,1818011,50325,4930,0
2022-05-25,3410204,36801,,0
2022-05-26,6602405,172928,6090,1
2022-05-27,734977,21271,1731,0
2022-05-28,446467,6543,76,0
2022-05-29,1325024,97864,1743,0
2022-05-30,36557,3995,367,0
2022-05-31,420110,4782,108,0
2022-06-01,16993787,186402,4554,0
2022-06-02,19328483,209251,3236,1
2022-06-03,2846538,53774,1022,0
2022-06-04,1496579,32039,382,0
2022-06-05,1167166,20206,474,0
2022-06-06,1696533,49095,1044,0
2022-06-07,475358,5141,67,0
2022-06-08,33572232,446752,6989,1
2022-06-09,14159786,204614,,1
2022-06-10,5762772,83614,1630,0
2022-06-11,7950060,123844,1458,0
2022-06-12,832098,12800,451,0
2022-06-13,2674576,58860,1192,0
2022-06-14,5497206,117276,3076,0
2022-06-15,8743059,248493,3393,1
2022-06-16,8004642,117647,2908,0
2022-06-17,425345,10666,942,0
2022-06-18,200115,2946,1297,0
2022-06-19,8086269,84389,2631,0
2022-06-20,3745495,252959,6264,1
2022-06-21,1900708,74883,1715,0
2022-06-22,1086929,178299,7699,1
2022-06-23,8983723,127218,2370,0
2022-06-24,10585342,220195,,1
2022-06-25,664775,9466,,0
2022-06-26,12974187,180613,2629,0
2022-06-27,267792,292946,5631,1
2022-06-28,712738,53088,4254,0
2022-06-29,1902044,84939,927,0
2022-06-30,849745,39960,2665,0
2022-07-01,229191,4519,78,0
2022-07-02,2061828,24850,2037,0
2022-07-03,1503260,19805,1182,0
2022-07-04,9819146,185325,3865,0
2022-07-05,2068936,257998,5033,1
2022-07-06,13171536,237566,3123,1
2022-07-07,3035612,40527,428,0
2022-07-08,50681,1106,23,0
2022-07-09,1660932,23949,504,0
2022-07-10,22423092,234867,3101,1
2022-07-11,5872331,70133,1485,0
2022-07-12,11743843,143806,1850,0
2022-07-13,14975684,182222,,0
2022-07-14,125198,2795,691,0
2022-07-15,5072752,51047,518,0
2022-07-16,4498048,213382,3245,1
2022-07-17,4363923,48197,779,0
2022-07-18,2344202,47462,6087,1
2022-07-19,156205,3596,632,0
2022-07-20,1797690,232285,2890,1
2022-07-21,16387195,200906,3267,1
2022-07-22,4284169,160302,2588,0
2022-07-23,8428858,106228,1192,0
2022-07-24,11076103,134016,2799,0
2022-07-25,13416446,307664,6676,1
2022-07-26,8229183,147738,3408,0
2022-07-27,4188584,98532,2514,0
2022-07-28,2843093,89813,3379,0
2022-07-29,35961691,653764,7502,1
2022-07-30,9291259,224403,3881,1
2022-07-31,337226,3990,168,0
2022-08-01,305975,5110,85,0
2022-08-02,25583667,293802,,1
2022-08-03,3107949,31603,342,0
2022-08-04,5096487,59469,668,0
2022-08-05,3674845,170967,2111,0
2022-08-06,511088,8005,1177,0
2022-08-07,3303983,251522,5467,1
2022-08-08,14912453,192219,4204,0
2022-08-09,2790870,101950,3066,0
2022-08-10,919139,11244,1891,0
2022-08-11,173128,8071,393,0
2022-08-12,45,10,210,0
2022-08-13,10727,511,115,0
2022-08-14,3323888,55849,,0
2022-08-15,942479,14150,595,0
2022-08-16,354226,14671,213,0
2022-08-17,288823,20069,5928,1
2022-08-18,167703,3396,614,0
2022-08-19,1937698,19871,524,0
2022-08-20,29959532,357968,5135,1
2022-08-21,148334,7702,2817,0
2022-08-22,3321263,115567,1817,0
2022-08-23,2776240,43349,6123,1
2022-08-24,228565,52707,666,0
2022-08-25,1134862,13508,345,0
2022-08-26,2904135,422355,9136,1
2022-08-27,753559,14905,1012,0
2022-08-28,1000545,24328,849,0
2022-08-29,11546513,223929,,1
2022-08-30,281531,268719,7835,1
2022-08-31,2042235,37702,1286,0
2022-09-01,209320,30589,533,0
2022-09-02,885606,14041,1738,0
2022-09-03,1635857,23326,304,0
2022-09-04,811632,14821,207,0
2022-09-05,294678,21662,2973,0
2022-09-06,20450768,294400,7202,1
2022-09-07,10253488,559213,7858,1
2022-09-08,253517,2805,410,0
2022-09-09,20948089,289814,4578,1
2022-09-10,1223424,13988,1382,0
2022-09-11,8031673,186167,3699,0
2022-09-12,17505455,255981,6432,1
2022-09-13,5733320,248732,2957,1
2022-09-14,3788968,51050,816,0
2022-09-15,1009819,38009,,0
2022-09-16,10192926,255675,2872,1
2022-09-17,3829162,113139,2125,0
2022-09-18,5704564,197206,4029,0
2022-09-19,11009008,151192,2280,0
2022-09-20,18645889,400206,7343,1
2022-09-21,24302,671,1255,0
2022-09-22,1252825,170570,2598,0
2022-09-23,369895,17853,1659,0
2022-09-24,1224634,13516,4118,0
2022-09-25,96862,2319,71,0
2022-09-26,294956,8796,686,0
2022-09-27,12284335,233274,,1
2022-09-28,479235,8173,239,0
2022-09-29,5052278,243507,3243,1
2022-09-30,23086659,311681,5647,1
2022-10-01,654897,31299,703,0
2022-10-02,45757271,544522,7782,1
2022-10-03,3197261,74604,,0
2022-10-04,12758861,312628,4059,1
2022-10-05,1080746,24267,365,0
2022-10-06,796559,32527,4191,0
2022-10-07,2782635,99034,2522,0
2022-10-08,5359987,254011,5353,1
2022-10-09,593802,17484,942,0
2022-10-10,15246585,337256,6866,1
2022-10-11,1777586,43060,3537,0
2022-10-12,235574,3223,33,0
2022-10-13,18188582,341464,3444,1
2022-10-14,1372210,19105,192,0
2022-10-15,1020592,15263,270,0
2022-10-16,5924431,132678,1901,0
2022-10-17,5285481,125089,1378,0
2022-10-18,15581753,225939,6750,1
2022-10-19,1946000,157093,7785,1
2022-10-20,1339538,20981,1572,0
2022-10-21,15572181,173780,2692,0
2022-10-22,11478884,175711,1897,0
2022-10-23,15995707,207514,3293,1
2022-10-24,63917,1720,,0
2022-10-25,1362754,59564,747,0
2022-10-26,609657,27265,950,0
2022-10-27,49550,1436,60,0
2022-10-28,6235656,68574,1143,0
2022-10-29,20009300,233575,2495,1
2022-10-30,892731,11459,205,0
2022-10-31,314119,255878,,1
2022-11-01,290420,32913,1145,0
2022-11-02,5581111,74583,,0
2022-11-03,3264784,82348,3274,0
2022-11-04,128090,15165,513,0
2022-11-05,5138511,68796,1337,0
2022-11-06,531366,8983,256,0
2022-11-07,2088591,56799,1382,0
2022-11-08,10903017,189873,3764,0
2022-11-09,17034457,381197,4872,1
2022-11-10,552154,9974,2351,0
2022-11-11,2934,39,25,0
2022-11-12,870189,176766,1770,0
2022-11-13,686781,7942,166,0
2022-11-14,2054037,247625,3565,1
2022-11-15,599775,13152,3027,0
2022-11-16,5185106,101201,2130,0
2022-11-17,554228,108141,1213,0
2022-11-18,9603209,144395,3738,0
2022-11-19,618136,39367,4179,0
2022-11-20,5046,547,24,0
2022-11-21,11441499,114543,1507,0
2022-11-22,728757,28665,1893,0
2022-11-23,50316,1664,33,0
2022-11-24,5614110,75940,1141,0
2022-11-25,5790400,113171,2488,0
2022-11-26,443812,7891,,0
2022-11-27,324852,3725,286,0
2022-11-28,2206777,48798,1356,0
2022-11-29,557633,11762,1207,0
2022-11-30,327103,8897,261,0
2022-12-01,1172366,258146,8210,1
2022-12-02,6463824,80084,2567,0
2022-12-03,325178,45020,1130,0
2022-12-04,1114992,21911,315,0
2022-12-05,15914411,218957,5485,1
2022-12-06,5574754,259496,3284,1
2022-12-07,50051677,535678,5371,1
2022-12-08,2214031,92429,4232,0
2022-12-09,786574,28664,319,0
2022-12-10,737316,24892,322,0
2022-12-11,2789813,116101,4576,0
2022-12-12,618279,10755,183,0
2022-12-13,825095,19413,2004,0
2022-12-14,0,0,0,0
2022-12-15,3806389,101106,1835,0
2022-12-16,10576524,133464,1793,0
2022-12-17,450114,29299,299,0
2022-12-18,41068773,640392,8585,1
2022-12-19,3324857,47264,,0
2022-12-20,8725690,97280,1461,0
2022-12-21,1415394,18298,257,0
2022-12-22,946321,24863,301,0
2022-12-23,4990616,323409,,1
2022-12-24,928788,224920,3004,1
2022-12-25,23740755,307885,3952,1
2022-12-26,7700492,96309,1470,0
2022-12-27,9082658,401544,4246,1
2022-12-28,2297686,40853,1332,0
2022-12-29,3860833,205368,2069,1
2022-12-30,8901188,123909,1448,0
2022-12-31,2079846,33200,478,0
2023-01-01,39464371,457995,6716,1
2023-01-02,169945,2134,247,0
2023-01-03,144534,3399,371,0
2023-01-04,1335449,18192,545,0
2023-01-05,6731190,76194,1580,0
2023-01-06,431247,15476,361,0
2023-01-07,2340951,201654,8904,1
2023-01-08,254526,9072,1180,0
2023-01-09,6155176,84459,1646,0
2023-01-10,5956959,85427,2676,0
2023-01-11,16051064,206722,,1
2023-01-12,15666736,193372,2808,0
2023-01-13,15275406,198482,5786,1
2023-01-14,20745947,420113,4532,1
2023-01-15,538409,47695,670,0
2023-01-16,334502,31449,2654,0
2023-01-17,9032281,127042,2251,0
2023-01-18,2058885,25130,7211,1
2023-01-19,22117157,303746,6921,1
2023-01-20,11861621,255625,4110,1
2023-01-21,167263,3228,57,0
2023-01-22,1251570,16583,1156,0
2023-01-23,7087950,136604,1397,0
2023-01-24,139858,9145,185,0
2023-01-25,2055405,43507,1404,0
2023-01-26,1940925,21804,1097,0
2023-01-27,8618,536,31,0
2023-01-28,8003199,85951,1169,0
2023-01-29,6631727,72678,913,0
2023-01-30,926411,19259,913,0
2023-01-31,4520341,45856,1390,0
2023-02-01,6913999,114720,1580,0
2023-02-02,2276439,44712,467,0
2023-02-03,5353749,465365,5974,1
2023-02-04,915357,65284,1215,0
2023-02-05,12208808,338994,6987,1
2023-02-06,2513958,38031,724,0
2023-02-07,5167269,65087,2494,0
2023-02-08,476164,25199,407,0
2023-02-09,1827859,45270,1101,0
2023-02-10,3334062,102678,2234,0
2023-02-11,745729,27656,1753,0
2023-02-12,3002125,54142,3255,0
2023-02-13,44369343,467506,,1
2023-02-14,16996403,308907,4478,1
2023-02-15,82157,1022,21,0
2023-02-16,9972923,106959,1265,0
2023-02-17,6909546,115072,2872,0
2023-02-18,4358183,87334,904,0
2023-02-19,5161835,101115,3381,0
2023-02-20,9967999,147281,2177,0
2023-02-21,18611,342,282,0
2023-02-22,7206362,77001,1853,0
2023-02-23,154415,3278,77,0
2023-02-24,712627,41125,433,0
2023-02-25,5060608,132199,8040,1
2023-02-26,3962355,140837,2442,0
2023-02-27,9041478,106451,3489,0
2023-02-28,14302601,286319,4920,1
2023-03-01,16563449,207915,3680,1
2023-03-02,619266,8881,6600,1
2023-03-03,7613081,89490,3037,0
2023-03-04,1990441,39694,1073,0
2023-03-05,877301,37705,1716,0
2023-03-06,2935951,75674,4112,0
2023-03-07,10153231,147617,2171,0
2023-03-08,10054242,249991,3478,1
2023-03-09,24257883,478455,6105,1
2023-03-10,7407011,79069,1941,0
2023-03-11,13202866,432457,7764,1
2023-03-12,8580648,89711,1062,0
2023-03-13,11344371,693569,7118,1
2023-03-14,9072,253,48,0
2023-03-15,73023,1134,521,0
2023-03-16,205989,215055,2245,1
2023-03-17,6415446,253918,3127,1
2023-03-18,28193297,349564,4657,1
2023-03-19,1883341,74002,1293,0
2023-03-20,16097643,234182,2586,1
2023-03-21,278924,51886,4044,0
2023-03-22,12859051,196747,2067,0
2023-03-23,4959786,111843,4223,0
2023-03-24,7501819,81997,6972,1
2023-03-25,22677650,275705,9156,1
2023-03-26,188875,55305,1164,0
2023-03-27,3020555,55694,750,0
2023-03-28,1476310,19607,291,0
2023-03-29,5877821,681042,7656,1
2023-03-30,3219292,155943,3387,0
2023-03-31,503348,8655,100,0
2023-04-01,328523,7109,378,0
2023-04-02,340880,4552,538,0
2023-04-03,8334,26826,321,0
2023-04-04,158688,46840,482,0
2023-04-05,7965794,85260,1310,0
2023-04-06,685177,44097,896,0
2023-04-07,7830690,289339,5671,1
2023-04-08,3363235,41655,1441,0
2023-04-09,1269186,288448,3216,1
2023-04-10,10076393,211439,2997,1
2023-04-11,517746,18061,566,0
2023-04-12,1826885,53308,5242,1
2023-04-13,21103384,315267,4066,1
2023-04-14,10481411,153281,3333,0
2023-04-15,502462,14990,371,0
2023-04-16,774969,47572,607,0
2023-04-17,2690428,53440,1564,0
2023-04-18,2088,1184,18,0
2023-04-19,8229755,105511,3344,0
2023-04-20,3487277,99196,1554,0
2023-04-21,4429192,116390,6190,1
2023-04-22,1645883,34897,2385,0
2023-04-23,2058906,48198,499,0
2023-04-24,474873,47738,,1
2023-04-25,805462,26164,1294,0
2023-04-26,336005,6151,111,0
2023-04-27,6884705,105605,7548,1
2023-04-28,10360239,312089,3875,1
2023-04-29,14141278,434080,7271,1
2023-04-30,5060496,72130,980,0
2023-05-01,141077,5190,1670,0
2023-05-02,331141,6644,314,0
2023-05-03,592923,11206,2952,0
2023-05-04,2463381,46278,687,0
2023-05-05,4675619,119832,3226,0
2023-05-06,243808,14212,3631,0
2023-05-07,94613,10170,563,0
2023-05-08,3508,326,721,0
2023-05-09,5234413,183097,1852,0
2023-05-10,1447086,15120,502,0
2023-05-11,17349783,281976,3949,1
2023-05-12,8381723,355711,4555,1
2023-05-13,2559415,27276,685,0
2023-05-14,2080990,35790,687,0
2023-05-15,1594824,69747,780,0
2023-05-16,3314277,38008,2871,0
2023-05-17,1633528,19349,327,0
2023-05-18,11897108,211923,3436,1
2023-05-19,6526643,89066,2149,0
2023-05-20,8336184,128965,2031,0
2023-05-21,511032,100113,5490,1
2023-05-22,661885,161647,4797,0
2023-05-23,948566,59527,8640,1
2023-05-24,11782477,213620,2603,1
2023-05-25,3814879,112582,2946,0
2023-05-26,42492,828,31,0
2023-05-27,41664151,536414,6778,1
2023-05-28,7039717,100359,2031,0
2023-05-29,11957664,176742,3073,0
2023-05-30,4640109,564900,,1
2023-05-31,757143,104706,1284,0
2023-06-01,505304,6819,534,0
2023-06-02,1941973,20818,1097,0
2023-06-03,1056619,24253,478,0
2023-06-04,2020471,40042,1386,0
2023-06-05,12835410,185940,2323,0
2023-06-06,36561,1853,107,0
2023-06-07,955815,114197,1922,0
2023-06-08,1390240,165860,3933,0
2023-06-09,3428523,40787,679,0
2023-06-10,336565,12889,822,0
2023-06-11,712283,12046,199,0
2023-06-12,331801,14069,451,0
2023-06-13,9868790,124133,1253,0
2023-06-14,14315,69729,1164,0
2023-06-15,762125,63762,1887,0
2023-06-16,4601911,82271,2458,0
2023-06-17,2814472,588975,6069,1
2023-06-18,59130,1930,81,0
2023-06-19,515149,144506,2244,0
2023-06-20,32693322,503767,5430,1
2023-06-21,4331047,53439,671,0
2023-06-22,1725764,457333,5711,1
2023-06-23,12689111,171093,3288,0
2023-06-24,27380738,498414,5522,1
2023-06-25,1434373,86380,2827,0
2023-06-26,590724,54799,923,0
2023-06-27,10447,202,7,0
2023-06-28,1567812,93593,1165,0
2023-06-29,6819426,137668,2734,0
2023-06-30,16333392,250256,2896,1
2023-07-01,2307231,61908,981,0
2023-07-02,4199185,186786,2662,0
2023-07-03,3810419,412422,4264,1
2023-07-04,858491,44379,752,0
2023-07-05,238850,18455,860,0
2023-07-06,4789851,71959,1692,0
2023-07-07,22570883,264442,3220,1
2023-07-08,4144693,101240,1775,0
2023-07-09,4923625,50574,973,0
2023-07-10,13103311,243683,3863,1
2023-07-11,943486,22217,1497,0
2023-07-12,9009563,159006,2439,0
2023-07-13,2507473,51002,2116,0
2023-07-14,6211294,246569,6480,1
2023-07-15,558692,99936,2349,0
2023-07-16,928821,18762,696,0
2023-07-17,10077037,115293,1215,0
2023-07-18,3306855,158305,5838,1
2023-07-19,899073,9100,908,0
2023-07-20,3149219,58785,2226,0
2023-07-21,22612516,351041,5068,1
2023-07-22,4903423,197879,2361,0
2023-07-23,1010542,28766,782,0
2023-07-24,8120150,535048,7272,1
2023-07-25,4386401,46685,2227,0
2023-07-26,128206,2763,37,0
2023-07-27,2308354,26843,584,0
2023-07-28,374427,12147,122,0
2023-07-29,2987226,34346,1349,0
2023-07-30,1105391,143212,1526,0
2023-07-31,1130073,26454,741,0
2023-08-01,1070252,36917,412,0
2023-08-02,1801424,159108,5721,1
2023-08-03,444988,28973,394,0
2023-08-04,14941921,375520,6617,1
2023-08-05,4182175,71931,2185,0
2023-08-06,7942245,297346,5536,1
2023-08-07,6846619,111873,3156,0
2023-08-08,9954689,153830,2015,0
2023-08-09,132048,2659,2321,0
2023-08-10,6204837,97971,2020,0
2023-08-11,4022283,103313,1780,0
2023-08-12,4192,72,117,0
2023-08-13,3831678,349479,5423,1
2023-08-14,6955452,323570,,1
2023-08-15,42440,2967,230,0
2023-08-16,1203665,87877,1103,0
2023-08-17,1100331,14057,4387,0
2023-08-18,104733,3037,134,0
2023-08-19,4131918,119403,4784,0
2023-08-20,12772290,186551,,0
2023-08-21,25826468,640043,9485,1
2023-08-22,9786415,108830,1731,0
2023-08-23,98854,46894,4393,0
2023-08-24,12754789,316069,4348,1
2023-08-25,715507,17079,6465,1
2023-08-26,2195132,74191,1356,0
2023-08-27,918436,31493,1811,0
2023-08-28,4286971,80454,3258,0
2023-08-29,77433,4952,83,0
2023-08-30,12621,733,69,0
2023-08-31,2573435,56644,812,0
2023-09-01,28431837,353874,6428,1
2023-09-02,10116227,295062,4128,1
2023-09-03,4906278,166861,2619,0
2023-09-04,608612,15204,,0
2023-09-05,3842483,38938,462,0
2023-09-06,2139767,83478,971,0
2023-09-07,100203,1123,311,0
2023-09-08,8810010,120881,5636,1
2023-09-09,781666,8215,394,0
2023-09-10,352375,13169,621,0
2023-09-11,121532,1399,25,0
2023-09-12,3230231,143377,2370,0
2023-09-13,570920,38351,3472,0
2023-09-14,2065348,33895,1051,0
2023-09-15,19798432,205298,,1
2023-09-16,11546697,155748,2037,0
2023-09-17,52792,897,49,0
2023-09-18,12531110,127772,2666,0
2023-09-19,14915015,169151,1864,0
2023-09-20,17812407,201329,2290,1
2023-09-21,977763,10720,1091,0
2023-09-22,4571977,46187,915,0
2023-09-23,17182611,275872,2775,1
2023-09-24,1040619,30855,343,0
2023-09-25,5476224,246122,3654,1
2023-09-26,3296799,86954,1891,0
2023-09-27,40307817,432187,7307,1
2023-09-28,24996988,260914,3193,1
2023-09-29,16545454,296025,3065,1
2023-09-30,359955,8199,101,0
2023-10-01,8182411,84543,1063,0
2023-10-02,1181332,11898,497,0
2023-10-03,980465,97215,1090,0
2023-10-04,3348642,462704,4777,1
2023-10-05,4862666,54999,1146,0
2023-10-06,3011599,38280,2375,0
2023-10-07,7256567,108077,2500,0
2023-10-08,3234766,99549,3636,0
2023-10-09,26693756,280467,3396,1
2023-10-10,3854919,61075,721,0
2023-10-11,1080284,12732,144,0
2023-10-12,1892377,28349,534,0
2023-10-13,11778699,179207,1970,0
2023-10-14,1145595,49112,3997,0
2023-10-15,1891903,133334,1564,0
2023-10-16,16075099,175995,4609,0
2023-10-17,4615661,70476,1486,0
2023-10-18,1910439,25906,1056,0
2023-10-19,14977418,243362,3457,1
2023-10-20,9930483,144136,,0
2023-10-21,153254,48446,2015,0
2023-10-22,7372731,697042,7887,1
2023-10-23,5456009,67874,2996,0
2023-10-24,2994956,44918,684,0
2023-10-25,2117259,22522,2211,0
2023-10-26,3167399,32578,1276,0
2023-10-27,5638119,81487,2308,0
2023-10-28,382112,6464,70,0
2023-10-29,13193477,297503,,1
2023-10-30,1786,284,35,0
2023-10-31,365495,17754,662,0
2023-11-01,12136629,171552,2689,0
2023-11-02,19727800,229331,3356,1
2023-11-03,11785075,129287,4647,0
2023-11-04,480152,18433,531,0
2023-11-05,3756038,61853,1449,0
2023-11-06,19400732,276867,5222,1
2023-11-07,641243,102611,6490,1
2023-11-08,2100611,21222,1305,0
2023-11-09,12406020,125754,1638,0
2023-11-10,18909864,468275,6397,1
2023-11-11,1917700,93219,2017,0
2023-11-12,335947,6188,954,0
2023-11-13,4774224,62993,1777,0
2023-11-14,1416825,32666,1706,0
2023-11-15,43987669,473374,5348,1
2023-11-16,1392560,26688,1464,0
2023-11-17,2953850,35056,680,0
2023-11-18,3149410,39293,1479,0
2023-11-19,3087108,43852,3648,0
2023-11-20,461462,8801,,0
2023-11-21,1030071,13361,751,0
2023-11-22,44961192,706913,7148,1
2023-11-23,4027885,69757,5065,1
2023-11-24,1037705,462821,6745,1
2023-11-25,25974163,445721,7006,1
2023-11-26,1289700,28004,701,0
2023-11-27,26186275,455273,,1
2023-11-28,472121,4922,1147,0
2023-11-29,423398,6305,2046,0
2023-11-30,12958488,218029,3385,1
2023-12-01,3559970,143432,4466,0
2023-12-02,3401448,42942,824,0
2023-12-03,119209,13831,218,0
2023-12-04,2799451,72289,944,0
2023-12-05,15319562,250474,6238,1
2023-12-06,3022983,42222,4002,0
2023-12-07,18895433,319062,5776,1
2023-12-08,2359258,81482,1098,0
2023-12-09,1723,228,34,0
2023-12-10,3999643,209267,3780,1
2023-12-11,8953992,104753,4322,0
2023-12-12,1278793,17710,1369,0
2023-12-13,33882,997,15,0
2023-12-14,17381,497,2962,0
2023-12-15,8720106,94998,3907,0
2023-12-16,489136,52472,3564,0
2023-12-17,1270228,19834,1082,0
2023-12-18,68887,932,147,0
2023-12-19,17263640,397035,7248,1
2023-12-20,758859,84593,1583,0
2023-12-21,1424586,57813,1365,0
2023-12-22,12386380,296204,,1
2023-12-23,134421,2449,742,0
2023-12-24,2491262,62425,647,0
2023-12-25,134281,1886,326,0
2023-12-26,4933265,51258,520,0
2023-12-27,33846609,415067,7360,1
2023-12-28,3659566,208601,2262,1
2023-12-29,1164008,14309,193,0
2023-12-30,3977696,60935,,0
2023-12-31,3719764,60963,1507,0
